,Terms,Exceptions,Republican Usage,Democrat Usage,Total Usage,Affiliation,Accuracy %
3,go back to,,18,12,30,0.0,60.0
6,vote him out,,1,24,25,1.0,96.0
0,the minimum wage,,12,10,22,0.0,54.55
13,you want to,,13,9,22,0.0,59.09
2,has done a,,18,4,22,0.0,81.82
22,if you want,,12,10,22,0.0,54.55
9,one of the,,20,2,22,0.0,90.91
52,live free or die,,16,5,21,0.0,76.19
39,free or die,,16,5,21,0.0,76.19
29,we need to,,8,13,21,1.0,61.9
43,live free or,,16,5,21,0.0,76.19
89,vote for a,,17,3,20,0.0,85.0
110,to get a,,17,3,20,0.0,85.0
28,if you dont,,15,5,20,0.0,75.0
1,a great job,,15,4,19,0.0,78.95
212,im voting for,,17,0,17,0.0,100.0
38,all the way,,15,2,17,0.0,88.24
17,the rest of,,10,7,17,0.0,58.82
35,to go to,,7,9,16,1.0,56.25
5,vote for him,,6,10,16,1.0,62.5
20,is going to,,10,6,16,0.0,62.5
70,trump is a,,5,10,15,1.0,66.67
40,do you think,,9,5,14,0.0,64.29
19,of new hampshire,,9,5,14,0.0,64.29
27,get rid of,,6,8,14,1.0,57.14
65,the democratic party,,11,3,14,0.0,78.57
47,i dont think,,10,4,14,0.0,71.43
88,trump and his,,4,10,14,1.0,71.43
32,be able to,,10,4,14,0.0,71.43
312,the democrat party,,12,1,13,0.0,92.31
123,by the way,,8,5,13,0.0,61.54
116,if you want to,,8,5,13,0.0,61.54
12,to vote for,,5,8,13,1.0,61.54
31,for the people,,8,5,13,0.0,61.54
14,a good job,,9,4,13,0.0,69.23
24,you need to,,7,6,13,0.0,53.85
4,a lot of,,5,8,13,1.0,61.54
156,wearing a mask,,3,9,12,1.0,75.0
7,he has done,,8,4,12,0.0,66.67
77,needs to be,,5,7,12,1.0,58.33
15,he needs to,,3,9,12,1.0,75.0
16,sununu is a,,7,5,12,0.0,58.33
21,dont want to,,9,2,11,0.0,81.82
408,sununu and trump,,10,1,11,0.0,90.91
198,trump and sununu,,8,3,11,0.0,72.73
85,the people who,,8,3,11,0.0,72.73
82,to pay for,,6,5,11,0.0,54.55
8,needs to go,,4,7,11,1.0,63.64
105,look at the,,10,1,11,0.0,90.91
102,need to go,,8,2,10,0.0,80.0
111,as well as,,8,2,10,0.0,80.0
107,you dont like,,8,2,10,0.0,80.0
222,maybe you should,,8,2,10,0.0,80.0
334,would be a,,7,3,10,0.0,70.0
30,the people of,,6,4,10,0.0,60.0
37,wear a mask,,2,8,10,1.0,80.0
86,part of the,,4,6,10,1.0,60.0
211,pay for it,,7,2,9,0.0,77.78
120,to go back to,,5,4,9,0.0,55.56
10,done a great,,8,1,9,0.0,88.89
83,the united states,,6,3,9,0.0,66.67
18,sununu has done,,8,1,9,0.0,88.89
99,not vote for,,1,8,9,1.0,88.89
319,of the state,,4,5,9,1.0,55.56
108,in the state,,6,3,9,0.0,66.67
293,keep up the,,5,4,9,0.0,55.56
245,i live in,,5,4,9,0.0,55.56
117,dont have to,,7,2,9,0.0,77.78
60,to go back,,5,4,9,0.0,55.56
45,going to be,,4,5,9,1.0,55.56
162,to live in,,9,0,9,0.0,100.0
157,if you think,,6,3,9,0.0,66.67
61,out of office,,5,4,9,0.0,55.56
11,done a great job,,8,1,9,0.0,88.89
147,out of state,,7,1,8,0.0,87.5
376,a minimum wage,,7,1,8,0.0,87.5
133,live in a,,6,2,8,0.0,75.0
202,to wear a,,1,7,8,1.0,87.5
329,live in nh,,5,3,8,0.0,62.5
270,to make a,,5,3,8,0.0,62.5
97,are trying to,,4,4,8,,50.0
159,you dont want,,7,1,8,0.0,87.5
239,to wear a mask,,1,7,8,1.0,87.5
196,vote for the,,5,3,8,0.0,62.5
233,dont agree with,,6,2,8,0.0,75.0
122,you must be,,5,3,8,0.0,62.5
344,listen to the,,7,1,8,0.0,87.5
56,an income tax,,6,2,8,0.0,75.0
44,in the country,,7,1,8,0.0,87.5
34,back to work,,4,4,8,,50.0
185,go to the,,5,2,7,0.0,71.43
67,take care of,,3,4,7,1.0,57.14
369,we the people,,7,0,7,0.0,100.0
370,irene jane turner,,6,1,7,0.0,85.71
112,the right to,,4,3,7,0.0,57.14
375,the only one,,7,0,7,0.0,100.0
285,im not a,,3,4,7,1.0,57.14
364,not to mention,,4,3,7,0.0,57.14
272,in front of,,3,4,7,1.0,57.14
53,he needs to go,,2,5,7,1.0,71.43
64,do you know,,6,1,7,0.0,85.71
57,voting for him,,3,4,7,1.0,57.14
48,a bunch of,,5,2,7,0.0,71.43
154,would like to,,7,0,7,0.0,100.0
368,in nh and,,4,3,7,0.0,57.14
36,he has done a,,5,2,7,0.0,71.43
25,in new hampshire,,2,5,7,1.0,71.43
91,the cost of,,4,3,7,0.0,57.14
23,has done a great,,6,1,7,0.0,85.71
26,has done a great job,,6,1,7,0.0,85.71
94,a vote for,,7,0,7,0.0,100.0
173,to pay the,,2,5,7,1.0,71.43
100,is a trump,,0,7,7,1.0,100.0
76,cost of living,,5,2,7,0.0,71.43
335,if you dont want,,5,1,6,0.0,83.33
338,people need to,,5,1,6,0.0,83.33
161,have to pay,,3,3,6,,50.0
261,state of new hampshire,,2,4,6,1.0,66.67
256,state of new,,2,4,6,1.0,66.67
199,diane allen schlott,,6,0,6,0.0,100.0
142,would have been,,3,3,6,,50.0
237,that would be,,5,1,6,0.0,83.33
90,the state of,,4,2,6,0.0,66.67
155,of the people,,4,2,6,0.0,66.67
191,back to massachusetts,,4,2,6,0.0,66.67
148,a trump supporter,,3,3,6,,50.0
231,there are many,,4,2,6,0.0,66.67
150,not going to,,3,3,6,,50.0
130,you dont have,,2,4,6,1.0,66.67
209,will vote for,,6,0,6,0.0,100.0
378,to the polls,,6,0,6,0.0,100.0
201,for new hampshire,,4,2,6,0.0,66.67
55,lost my vote,,0,6,6,1.0,100.0
113,the democrats are,,6,0,6,0.0,100.0
304,away from the,,4,2,6,0.0,66.67
168,to private school,,0,6,6,1.0,100.0
71,the fact that,,4,2,6,0.0,66.67
388,he is a trump,,0,6,6,1.0,100.0
151,voting for sununu,,6,0,6,0.0,100.0
80,elizabeth crocker moseley,,6,0,6,0.0,100.0
96,we dont need,,5,1,6,0.0,83.33
281,time for a,,3,3,6,,50.0
384,will not vote,,1,5,6,1.0,83.33
54,sununu has done a,,6,0,6,0.0,100.0
84,is one of,,5,0,5,0.0,100.0
49,a living wage,,3,2,5,0.0,60.0
51,get my vote,,0,5,5,1.0,100.0
227,a private school,,2,3,5,1.0,60.0
192,will never vote,,4,1,5,0.0,80.0
220,no one is,,2,3,5,1.0,60.0
200,in the last,,3,2,5,0.0,60.0
205,state income tax,,5,0,5,0.0,100.0
87,the republican party,,0,5,5,1.0,100.0
404,red all the way,,5,0,5,0.0,100.0
232,in our state,,3,2,5,0.0,60.0
347,getting my vote,,2,3,5,1.0,60.0
332,doing a good,,3,2,5,0.0,60.0
327,doing a good job,,3,2,5,0.0,60.0
356,is a vote,,5,0,5,0.0,100.0
361,to get rid,,3,2,5,0.0,60.0
363,should be able,,4,1,5,0.0,80.0
33,back to school,,3,2,5,0.0,60.0
298,i want to,,4,1,5,0.0,80.0
381,should be able to,,4,1,5,0.0,80.0
387,the public schools,,2,3,5,1.0,60.0
275,is a great,,2,3,5,1.0,60.0
273,for the people of,,3,2,5,0.0,60.0
177,go back to work,,3,2,5,0.0,60.0
266,will be voting,,4,1,5,0.0,80.0
265,is a good,,4,1,5,0.0,80.0
393,one of them,,4,1,5,0.0,80.0
42,doing a great job,,4,1,5,0.0,80.0
242,raise the minimum wage,,2,3,5,1.0,60.0
235,go to school,,4,1,5,0.0,80.0
234,a sales tax,,5,0,5,0.0,100.0
46,in this state,,4,1,5,0.0,80.0
41,doing a great,,4,1,5,0.0,80.0
172,if you cant,,4,1,5,0.0,80.0
135,in this country,,2,3,5,1.0,60.0
175,you people are,,5,0,5,0.0,100.0
69,need to be,,2,3,5,1.0,60.0
160,raise the minimum,,2,3,5,1.0,60.0
418,i will not vote,,1,4,5,1.0,80.0
103,vote for sununu,,3,2,5,0.0,60.0
78,why dont you,,5,0,5,0.0,100.0
101,minimum wage is,,4,1,5,0.0,80.0
158,rest of the,,2,3,5,1.0,60.0
141,you dont know,,5,0,5,0.0,100.0
420,will not vote for,,0,5,5,1.0,100.0
426,to get rid of,,3,2,5,0.0,60.0
415,red all the,,5,0,5,0.0,100.0
423,dont have a,,3,2,5,0.0,60.0
95,need to get,,0,5,5,1.0,100.0
248,trump is the,,2,2,4,,50.0
63,never vote for,,3,1,4,0.0,75.0
137,nothing to do,,2,2,4,,50.0
377,all kinds of,,4,0,4,0.0,100.0
225,they need to,,3,1,4,0.0,75.0
294,minimum wage was,,3,1,4,0.0,75.0
269,of the world,,3,1,4,0.0,75.0
132,nothing to do with,,2,2,4,,50.0
153,is one of the,,4,0,4,0.0,100.0
152,minimum wage and,,3,1,4,0.0,75.0
403,to deal with,,3,1,4,0.0,75.0
149,a fantastic job,,3,1,4,0.0,75.0
131,state of nh,,2,2,4,,50.0
146,vote for trump,,4,0,4,0.0,100.0
144,sununu has done a great,,4,0,4,0.0,100.0
379,will never vote for,,3,1,4,0.0,75.0
287,sununu is not,,0,4,4,1.0,100.0
127,i guess you,,3,1,4,0.0,75.0
277,want to be,,2,2,4,,50.0
140,we need a,,3,1,4,0.0,75.0
282,the only way,,4,0,4,0.0,100.0
124,thank you for,,1,3,4,1.0,75.0
250,be voting for,,3,1,4,0.0,75.0
247,i dont care,,0,4,4,1.0,100.0
391,i am sure,,2,2,4,,50.0
59,are going to,,2,2,4,,50.0
373,i will be voting,,3,1,4,0.0,75.0
183,rest of us,,2,2,4,,50.0
174,has done a good,,4,0,4,0.0,100.0
98,people of nh,,1,3,4,1.0,75.0
114,the people of nh,,1,3,4,1.0,75.0
411,i will not vote for,,0,4,4,1.0,100.0
188,has done a good job,,4,0,4,0.0,100.0
187,the rest of us,,2,2,4,,50.0
93,to private schools,,0,4,4,1.0,100.0
92,done a good,,4,0,4,0.0,100.0
165,i will vote,,4,0,4,0.0,100.0
193,get a raise,,2,2,4,,50.0
194,the only thing,,4,0,4,0.0,100.0
106,done a good job,,4,0,4,0.0,100.0
164,the rest of the,,1,3,4,1.0,75.0
75,i think he,,2,2,4,,50.0
81,has my vote,,4,0,4,0.0,100.0
73,i dont know,,2,2,4,,50.0
50,the white house,,1,3,4,1.0,75.0
180,we dont want,,2,2,4,,50.0
340,have my vote,,3,0,3,0.0,100.0
424,to vote for him,,0,3,3,1.0,100.0
267,people who are,,1,2,3,1.0,66.67
134,dont care about,,2,1,3,0.0,66.67
280,go back to school,,2,1,3,0.0,66.67
129,in the white,,1,2,3,1.0,66.67
382,dont need to,,2,1,3,0.0,66.67
350,go back to massachusetts,,1,2,3,1.0,66.67
351,you sound like,,0,3,3,1.0,100.0
283,like to see,,1,2,3,1.0,66.67
79,is the best,,3,0,3,0.0,100.0
352,to say that,,3,0,3,0.0,100.0
355,at this point,,1,2,3,1.0,66.67
357,going to have,,2,1,3,0.0,66.67
290,i will vote for,,3,0,3,0.0,100.0
425,did you get,,1,2,3,1.0,66.67
317,sununu is doing,,1,2,3,1.0,66.67
68,raising the minimum wage,,2,1,3,0.0,66.67
109,agree with you,,3,0,3,0.0,100.0
72,get back to,,1,2,3,1.0,66.67
300,vote blue and,,0,3,3,1.0,100.0
374,hes a trump,,1,2,3,1.0,66.67
178,i dont want,,1,2,3,1.0,66.67
422,and thats why,,2,1,3,0.0,66.67
214,i am voting,,2,1,3,0.0,66.67
62,raising the minimum,,2,1,3,0.0,66.67
226,have no idea,,2,1,3,0.0,66.67
166,they want to,,2,1,3,0.0,66.67
416,think he has,,2,1,3,0.0,66.67
170,here in nh,,1,2,3,1.0,66.67
240,a right to,,2,1,3,0.0,66.67
402,to keep the,,1,2,3,1.0,66.67
345,him out vote,,0,3,3,1.0,100.0
223,i hope you,,2,1,3,0.0,66.67
249,to get back,,1,2,3,1.0,66.67
186,and i dont,,0,3,3,1.0,100.0
230,725 an hour,,0,3,3,1.0,100.0
138,in the white house,,1,2,3,1.0,66.67
394,the dems are,,3,0,3,0.0,100.0
258,going to vote,,1,2,3,1.0,66.67
259,i would like,,3,0,3,0.0,100.0
427,going to vote for,,1,2,3,1.0,66.67
365,job with the,,1,1,2,,50.0
360,new hampshire and,,2,0,2,0.0,100.0
208,of the virus,,1,1,2,,50.0
74,a trump guy,,0,2,2,1.0,100.0
367,the governor is,,2,0,2,0.0,100.0
207,to wear masks,,1,1,2,,50.0
213,are the ones,,1,1,2,,50.0
362,good job with,,1,1,2,,50.0
309,i dont like,,0,2,2,1.0,100.0
206,what a bunch,,1,1,2,,50.0
409,im not voting,,0,2,2,1.0,100.0
217,is going to be,,1,1,2,,50.0
323,i used to,,2,0,2,0.0,100.0
203,come up with,,2,0,2,0.0,100.0
308,to get back to,,0,2,2,1.0,100.0
195,like his father,,0,2,2,1.0,100.0
412,they dont want,,1,1,2,,50.0
349,no idea what,,1,1,2,,50.0
413,in the united states,,2,0,2,0.0,100.0
337,vote sununu out,,0,2,2,1.0,100.0
184,to new hampshire,,1,1,2,,50.0
339,wont get my vote,,0,2,2,1.0,100.0
182,carol dow mcdougall,,2,0,2,0.0,100.0
341,wont get my,,0,2,2,1.0,100.0
181,the majority of,,2,0,2,0.0,100.0
346,the state of new hampshire,,1,1,2,,50.0
171,he doesnt care,,0,2,2,1.0,100.0
216,get back to work,,1,1,2,,50.0
371,the state of new,,1,1,2,,50.0
236,to pay their,,1,1,2,,50.0
268,piece of shit,,1,1,2,,50.0
271,hampshire democratic party,,0,2,2,1.0,100.0
255,to take care,,0,2,2,1.0,100.0
397,a way to,,1,1,2,,50.0
253,new hampshire democratic,,0,2,2,1.0,100.0
401,care of the,,1,1,2,,50.0
126,is doing a great,,2,0,2,0.0,100.0
246,sununu is the,,2,0,2,0.0,100.0
244,a 31000 raise,,0,2,2,1.0,100.0
243,new hampshire democratic party,,0,2,2,1.0,100.0
238,all the time,,2,0,2,0.0,100.0
121,as far as,,1,1,2,,50.0
264,to take care of,,0,2,2,1.0,100.0
143,i think the,,1,1,2,,50.0
407,gave himself a,,1,1,2,,50.0
419,in the united,,2,0,2,0.0,100.0
292,you know what,,2,0,2,0.0,100.0
218,dont like it,,2,0,2,0.0,100.0
119,doesnt care about,,0,2,2,1.0,100.0
405,a better job,,2,0,2,0.0,100.0
118,is doing a great job,,2,0,2,0.0,100.0
115,not voting for,,0,2,2,1.0,100.0
302,the middle class,,2,0,2,0.0,100.0
299,go to private,,0,2,2,1.0,100.0
380,the death rate,,1,0,1,0.0,100.0
414,get a job,,1,0,1,0.0,100.0
366,good for nh,,1,0,1,0.0,100.0
399,one of those,,0,1,1,1.0,100.0
389,in nh are,,1,0,1,0.0,100.0
348,dont like the,,1,0,1,0.0,100.0
417,done a fantastic job,,1,0,1,0.0,100.0
410,you can request,,0,1,1,1.0,100.0
359,the point of,,1,0,1,0.0,100.0
390,done a fantastic,,1,0,1,0.0,100.0
429,trump and the,,0,1,1,1.0,100.0
276,have a right,,1,0,1,0.0,100.0
288,if they dont,,1,0,1,0.0,100.0
254,did a good job,,0,1,1,1.0,100.0
303,would never vote,,1,0,1,0.0,100.0
301,is good for,,1,0,1,0.0,100.0
297,m orell cuevas,,1,0,1,0.0,100.0
296,deborah m orell cuevas,,1,0,1,0.0,100.0
204,i agree with,,0,1,1,1.0,100.0
291,the number of,,1,0,1,0.0,100.0
210,care about the,,1,0,1,0.0,100.0
221,no thank you,,0,1,1,1.0,100.0
307,kids need to,,1,0,1,0.0,100.0
279,a man who,,1,0,1,0.0,100.0
228,a piece of,,0,1,1,1.0,100.0
278,have a right to,,1,0,1,0.0,100.0
229,the age of,,0,1,1,1.0,100.0
241,what a bunch of,,1,0,1,0.0,100.0
262,lot of people,,1,0,1,0.0,100.0
260,of the best,,0,1,1,1.0,100.0
257,did a good,,0,1,1,1.0,100.0
306,deborah m orell,,1,0,1,0.0,100.0
190,supposed to be,,1,0,1,0.0,100.0
322,he handled the,,0,1,1,1.0,100.0
331,going back to,,0,1,1,1.0,100.0
176,he has my vote,,1,0,1,0.0,100.0
169,hes done a,,1,0,1,0.0,100.0
125,just like his,,0,1,1,1.0,100.0
315,just like his father,,0,1,1,1.0,100.0
316,the ones who,,0,1,1,1.0,100.0
318,out of nh,,1,0,1,0.0,100.0
167,as much as,,1,0,1,0.0,100.0
163,why would you,,1,0,1,0.0,100.0
66,was going to,,0,1,1,1.0,100.0
145,want to do,,1,0,1,0.0,100.0
139,dont know what,,0,1,1,1.0,100.0
128,chris sununu is,,1,0,1,0.0,100.0
179,he has done a great,,0,1,1,1.0,100.0
58,deborah eldridge sargent,,0,1,1,1.0,100.0
189,of the lowest,,0,0,0,,
400,you have said,,0,0,0,,
428,no matter who,,0,0,0,,
252,turned down the minimum,,0,0,0,,
251,a lot of people,,0,0,0,,
421,one of the best,,0,0,0,,
104,lauren merrill thompson,,0,0,0,,
224,a great governor,,0,0,0,,
136,for our state,,0,0,0,,
406,trump in a,,0,0,0,,
219,down the minimum,,0,0,0,,
197,for the state,,0,0,0,,
398,trump at a,,0,0,0,,
343,you heard him,,0,0,0,,
396,income tax and,,0,0,0,,
395,turned down the minimum wage,,0,0,0,,
336,when you heard him,,0,0,0,,
333,he did a good,,0,0,0,,
330,but i dont,,0,0,0,,
328,more money to,,0,0,0,,
353,just lost my vote,,0,0,0,,
354,want to pay,,0,0,0,,
326,he did a good job,,0,0,0,,
325,is a republican,,0,0,0,,
324,whats best for,,0,0,0,,
358,of the country,,0,0,0,,
321,go to work,,0,0,0,,
320,he turned down,,0,0,0,,
314,he doesnt care about,,0,0,0,,
313,a couple of,,0,0,0,,
311,will go away,,0,0,0,,
310,their kids to,,0,0,0,,
305,down the minimum wage,,0,0,0,,
372,would never vote for,,0,0,0,,
295,are talking about,,0,0,0,,
289,wont vote for,,0,0,0,,
286,the internet and,,0,0,0,,
284,vote for you,,0,0,0,,
383,you are talking,,0,0,0,,
385,good luck with,,0,0,0,,
386,and you have said,,0,0,0,,
342,when you heard,,0,0,0,,
274,send their kids,,0,0,0,,
263,have to go,,0,0,0,,
392,just lost my,,0,0,0,,
215,turned down the,,0,0,0,,
